gnome-mahjongg	1:3.38.3-2
gnome-menus	3.36.0-1ubuntu3
gnome-mines	1:40.1-1
gnome-online-accounts	3.44.0-1ubuntu1
gnome-power-manager	3.32.0-2build2
gnome-remote-desktop	42.9-0ubuntu0.22.04.2
gnome-session-bin	42.0-1ubuntu2
gnome-session-canberra	0.30-10ubuntu1.22.04.1
gnome-session-common	42.0-1ubuntu2
gnome-settings-daemon	42.1-1ubuntu2.2
gnome-settings-daemon-common	42.1-1ubuntu2.2
gnome-shell	42.9-0ubuntu2.3
gnome-shell-common	42.9-0ubuntu2.3
gnome-shell-extension-appindicator	42-2~fakesync1
gnome-shell-extension-desktop-icons-ng	43-2ubuntu1
gnome-shell-extension-ubuntu-dock	72~ubuntu5.22.04.3
gnome-startup-applications	42.0-1ubuntu2
gnome-sudoku	1:42.0-1
gnome-system-monitor	42.0-1
gnome-terminal	3.44.0-1ubuntu1
gnome-terminal-data	3.44.0-1ubuntu1
gnome-themes-extra:amd64	3.28-1ubuntu3
gnome-themes-extra-data	3.28-1ubuntu3
gnome-todo	3.28.1-6ubuntu1
gnome-todo-common	3.28.1-6ubuntu1
gnome-user-docs	41.5-1ubuntu2
gnome-user-docs-ko	41.5-1ubuntu2
gnome-video-effects	0.5.0-1ubuntu1
gnupg	2.2.27-3ubuntu2.5
gnupg-l10n	2.2.27-3ubuntu2.5
gnupg-utils	2.2.27-3ubuntu2.5
google-chrome-stable	149.0.7827.53-1
google-mock:amd64	1.11.0-3
googletest	1.11.0-3
gparted	1.3.1-1ubuntu1
gparted-common	1.3.1-1ubuntu1
gperf	3.1-1build1
gpg	2.2.27-3ubuntu2.5
gpg-agent	2.2.27-3ubuntu2.5
gpgconf	2.2.27-3ubuntu2.5
gpgsm	2.2.27-3ubuntu2.5
gpgv	2.2.27-3ubuntu2.5
gpg-wks-client	2.2.27-3ubuntu2.5
gpg-wks-server	2.2.27-3ubuntu2.5
graphviz	2.42.2-6ubuntu0.1
grep	3.7-1build1
grilo-plugins-0.3-base:amd64	0.3.14-1ubuntu2
groff-base	1.22.4-8build1
grub2-common	2.06-2ubuntu7.2
grub-common	2.06-2ubuntu7.2
grub-efi-amd64-bin	2.06-2ubuntu14.8
grub-efi-amd64-signed	1.187.12+2.06-2ubuntu14.8
grub-gfxpayload-lists	0.7
grub-pc	2.06-2ubuntu7.2
grub-pc-bin	2.06-2ubuntu7.2
gsettings-desktop-schemas	42.0-1ubuntu1
gsettings-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu2
gstreamer1.0-alsa:amd64	1.20.1-1ubuntu0.6
gstreamer1.0-clutter-3.0:amd64	3.0.27-2ubuntu1
gstreamer1.0-gl:amd64	1.20.1-1ubuntu0.6
gstreamer1.0-gtk3:amd64	1.20.3-0ubuntu1.7
gstreamer1.0-libav:amd64	1.20.3-0ubuntu1
gstreamer1.0-packagekit	1.2.5-2ubuntu3.1
gstreamer1.0-pipewire:amd64	0.3.48-1ubuntu3.2
gstreamer1.0-plugins-bad:amd64	1.20.3-0ubuntu1.1
gstreamer1.0-plugins-base:amd64	1.20.1-1ubuntu0.6
gstreamer1.0-plugins-base-apps	1.20.1-1ubuntu0.6
gstreamer1.0-plugins-base:i386	1.20.1-1ubuntu0.6
gstreamer1.0-plugins-good:amd64	1.20.3-0ubuntu1.7
gstreamer1.0-plugins-good:i386	1.20.3-0ubuntu1.7
gstreamer1.0-plugins-ugly:amd64	1.20.1-1
gstreamer1.0-pulseaudio:amd64	1.20.3-0ubuntu1.7
gstreamer1.0-tools	1.20.3-0ubuntu1.1
gstreamer1.0-vaapi:amd64	1.20.1-1ubuntu1
gstreamer1.0-x:amd64	1.20.1-1ubuntu0.6
gstreamer1.0-x:i386	1.20.1-1ubuntu0.6
gtk2-engines-murrine:amd64	0.98.2-3build2
gtk2-engines-pixbuf:amd64	2.24.33-2ubuntu2.1
gtk-update-icon-cache	3.24.33-1ubuntu2.2
guile-2.2-libs:amd64	2.2.7+1-6build2
gvfs:amd64	1.48.2-0ubuntu1.1
gvfs-backends	1.48.2-0ubuntu1.1
gvfs-common	1.48.2-0ubuntu1.1
gvfs-daemons	1.48.2-0ubuntu1.1
gvfs-fuse	1.48.2-0ubuntu1.1
gvfs-libs:amd64	1.48.2-0ubuntu1.1
gz-garden	1.0.0-1~jammy
gz-harmonic	1.0.0-1~jammy
gzip	1.10-4ubuntu4.2
gz-launch6-cli	6.2.0-1~jammy
gz-launch7-cli	7.1.1-1~jammy
gz-plugin2-cli	2.0.4-1~jammy
gz-sim7-cli	7.9.0-1~jammy
gz-sim8-cli	8.12.0-1~jammy
gz-tools2:amd64	2.0.3-1~jammy
gz-transport12-cli	12.2.2-1~jammy
gz-transport13-cli	13.5.0-1~jammy
hdf5-helpers	1.10.7+repack-4ubuntu2
hdparm	9.60+ds-1build3
hicolor-icon-theme	0.17-2
hostname	3.23ubuntu2
hplip	3.21.12+dfsg0-1ubuntu0.1
hplip-data	3.21.12+dfsg0-1ubuntu0.1
humanity-icon-theme	0.6.16
hunspell-en-us	1:2020.12.07-2
hunspell-ko	0.7.92-1
hwdata	0.357-1
hyphen-en-us	2.8.8-7build2
i965-va-driver:amd64	2.4.1+dfsg1-1
ibus	1.5.26-4
ibus-data	1.5.26-4
ibus-gtk3:amd64	1.5.26-4
ibus-gtk4:amd64	1.5.26-4
ibus-gtk:amd64	1.5.26-4
ibus-hangul	1.5.4-1build2
ibus-table	1.16.7-1
ibverbs-providers:amd64	39.0-1
icu-devtools	70.1-2
ignition-tools:amd64	1.5.0-1~jammy
ignition-transport11-cli	11.4.2-1~jammy
iio-sensor-proxy	3.3-0ubuntu6
im-config	0.50-2ubuntu22.04.1
info	6.8-4build1
init	1.62
initramfs-tools	0.140ubuntu13.5
initramfs-tools-bin	0.140ubuntu13.5
initramfs-tools-core	0.140ubuntu13.5
init-system-helpers	1.62
inputattach	1:1.7.1-1build2
install-info	6.8-4build1
intel-media-va-driver:amd64	22.3.1+dfsg1-1ubuntu2
intel-microcode	3.20260210.0ubuntu0.22.04.1
ipp-usb	0.9.20-1ubuntu0.22.04.2
iproute2	5.15.0-1ubuntu2.2
iptables	1.8.7-1ubuntu5.2
iputils-ping	3:20211215-1ubuntu0.1
iputils-tracepath	3:20211215-1ubuntu0.1
irqbalance	1.8.0-1ubuntu0.2
isc-dhcp-client	4.4.1-2.3ubuntu2.4
isc-dhcp-common	4.4.1-2.3ubuntu2.4
iso-codes	4.9.0-1
iucode-tool	2.3.1-1build1
java-common	0.72build2
javascript-common	11+nmu1
kbd	2.3.0-3ubuntu4.22.04
