timestamp_us,angle_deg,altitude_m,score,top_val,mid_val,bot_val
11751631,0,-1.0,638.7272727243743,702.9999999933502,702.9999999988272,702.9999999991272
11852580,0,-1.0,638.7272727249541,702.9999999946803,702.9999999990619,702.9999999993018
11979175,0,-1.0,638.7272727254178,702.9999999957442,702.9999999992496,702.9999999994416
12083395,0,-1.0,638.7272727257888,702.9999999965954,702.9999999993997,702.9999999995533
12189767,0,-1.0,638.7272727260857,702.9999999972764,702.9999999995198,702.9999999996427
12300526,0,-1.0,638.7272727263231,702.9999999978212,702.9999999996159,702.9999999997142
12402540,0,-1.0,638.7272727265131,702.999999998257,702.9999999996927,702.9999999997714
12498525,0,-1.0,638.7272727266651,702.9999999986056,702.9999999997542,702.9999999998172
12605672,0,-1.0,638.7272727267867,702.9999999988845,702.9999999998034,702.9999999998538
12706069,0,-1.0,638.7272727268839,702.9999999991077,702.9999999998428,702.9999999998831
12823699,0,-1.0,638.7272727269618,702.9999999992862,702.9999999998743,702.9999999999065
12925025,0,-1.0,638.7272727270239,702.999999999429,702.9999999998995,702.9999999999253
13026021,0,-1.0,638.7272727270738,702.9999999995432,702.9999999999196,702.9999999999403
13124300,0,-1.0,638.7272727271136,702.9999999996346,702.9999999999358,702.9999999999523
13219687,0,-1.0,638.7272727271454,702.9999999997077,702.9999999999486,702.9999999999618
13316958,0,-1.0,638.727272727171,702.9999999997663,702.999999999959,702.9999999999695
13414956,0,-1.0,638.7272727271915,702.9999999998131,702.9999999999673,702.9999999999757
13526722,0,-1.0,638.7272727272078,702.9999999998505,702.9999999999739,702.9999999999806
13632105,0,-1.0,638.7272727272208,702.9999999998804,702.9999999999791,702.9999999999845
13731074,0,-1.0,638.7272727272313,702.9999999999044,702.9999999999833,702.9999999999877
13836017,0,-1.0,638.7272727272397,702.9999999999236,702.9999999999867,702.9999999999902
13937477,0,-1.0,638.7272727272463,702.999999999939,702.9999999999894,702.9999999999923
14040375,0,-1.0,638.7272727272516,702.9999999999512,702.9999999999916,702.9999999999939
14141508,0,-1.0,638.7272727272558,702.999999999961,702.9999999999933,702.9999999999951
14251799,0,-1.0,638.7272727272593,702.9999999999688,702.9999999999947,702.9999999999961
14354763,0,-1.0,638.7272727272621,702.9999999999751,702.9999999999958,702.9999999999969
14458355,0,-1.0,638.7272727272642,702.9999999999801,702.9999999999967,702.9999999999976
14557140,0,-1.0,638.7272727272659,702.9999999999841,702.9999999999974,702.9999999999982
14653563,0,-1.0,638.7272727272674,702.9999999999873,702.999999999998,702.9999999999986
14760534,0,-1.0,638.7272727272684,702.9999999999899,702.9999999999984,702.999999999999
14887216,0,-1.0,638.7272727272693,702.9999999999919,702.9999999999987,702.9999999999992
15002300,0,-1.0,638.7272727272701,702.9999999999936,702.9999999999991,702.9999999999994
15104995,0,-1.0,638.7272727272707,702.999999999995,702.9999999999993,702.9999999999995
15194773,0,-1.0,638.7272727272712,702.999999999996,702.9999999999995,702.9999999999997
15295654,0,-1.0,638.7272727272715,702.9999999999968,702.9999999999997,702.9999999999998
15390202,0,-1.0,638.7272727272717,702.9999999999975,702.9999999999998,702.9999999999999
15478464,0,-1.0,638.7272727272721,702.9999999999981,702.9999999999999,703.0
15561248,0,-1.0,638.7272727272723,702.9999999999985,703.0,703.0
15654044,0,-1.0,638.7272727272724,702.9999999999989,703.0,703.0
15734280,0,-1.0,638.7272727272724,702.9999999999991,703.0,703.0
15821885,0,-1.0,638.7272727272725,702.9999999999993,703.0,703.0
15909653,0,-1.0,638.7272727272726,702.9999999999995,703.0,703.0
16001013,0,-1.0,638.7272727272726,702.9999999999997,703.0,703.0
16106495,0,-1.0,638.7272727272726,702.9999999999998,703.0,703.0
16219695,0,-1.0,638.7272727272727,702.9999999999999,703.0,703.0
16320431,0,-1.0,638.7272727272727,703.0,703.0,703.0
16427625,0,-1.0,638.7272727272727,703.0,703.0,703.0
16525621,0,-1.0,638.7272727272727,703.0,703.0,703.0
16628420,0,-1.0,638.7272727272727,703.0,703.0,703.0
16728765,0,-1.0,638.7272727272727,703.0,703.0,703.0
16835951,0,-1.0,638.7272727272727,703.0,703.0,703.0
16938891,0,-1.0,638.7272727272727,703.0,703.0,703.0
17034552,0,-1.0,638.7272727272727,703.0,703.0,703.0
17127082,0,-1.0,638.7272727272727,703.0,703.0,703.0
17230051,0,-1.0,638.7272727272727,703.0,703.0,703.0
17325815,0,-1.0,638.7272727272727,703.0,703.0,703.0
17420263,0,-1.0,638.7272727272727,703.0,703.0,703.0
17512927,0,-1.0,638.7272727272727,703.0,703.0,703.0
17611768,0,-1.0,638.7272727272727,703.0,703.0,703.0
